Step,Molecular_BLOB_Ered_dense_precision_multirank_20250507_014507 - best_value,Molecular_BLOB_Ered_dense_precision_multirank_20250507_210912 - best_value,Molecular_BLOB_Ered_dense_precision_multirank_20250508_155447 - best_value,Molecular_VBLL_Ered_dense_precision_multirank_20250513_082526 - best_value,Ered_mlp_20250509_121337 - best_value,Ered_mlp_20250509_120819 - best_value,Ered_mlp_20250509_121337 - best_value,No_Fine_tuning_20250515_003414 - best_value,No_Fine_tuning_20250515_002416 - best_value,No_Pretrain_20250515_002912 - best_value
54,1.61558066,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,1.68972791
55,1.61558066,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,1.68972791
56,1.61558066,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,1.68972791
57,1.61558066,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,1.68972791
58,1.61558066,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,1.68972791
59,1.61558066,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,1.68972791
60,1.61558066,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,1.68972791
61,1.61558066,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,1.68972791
62,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
63,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
64,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
65,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
66,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
67,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
68,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
69,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
70,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
71,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
72,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
73,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
74,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
75,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
76,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
77,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
78,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
79,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
80,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
81,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
82,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
83,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
84,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
85,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
86,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
87,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
88,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
89,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
90,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
91,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
92,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
93,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
94,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
95,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
96,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
97,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
98,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
99,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
100,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
101,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
102,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
103,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
104,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
105,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
106,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
107,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
108,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
109,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
110,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
111,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
112,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
113,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
114,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
115,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
116,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
117,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
118,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
119,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
120,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
121,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
122,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
123,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
124,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
125,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
126,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
127,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
128,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
129,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
130,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
131,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
132,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
133,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
134,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
135,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
136,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
137,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
138,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
139,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
140,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
141,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
142,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
143,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
144,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
145,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
146,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
147,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
148,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
149,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,1.68972791
150,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
,,,,1.54135178,,,,,,
