Step,Molecular_BLOB_Ered_dense_precision_multirank_fine-tuning_20250515_014033 - best_value,Molecular_BLOB_Ered_dense_precision_multirank_fine-tuning_20250515_014006 - best_value,Molecular_BLOB_Ered_dense_precision_multirank_ml_trigger_20250513_082526 - best_value,Molecular_BLOB_Ered_dense_precision_multirank_ml_trigger_20250507_014507 - best_value,Molecular_BLOB_Ered_dense_precision_multirank_recursive_20250508_122413 - best_value,Molecular_BLOB_Ered_dense_precision_multirank_recursive_20250508_160447 - best_value
65,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
66,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
67,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
68,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
69,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
70,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
71,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
72,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
73,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
74,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
75,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
76,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
77,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
78,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
79,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
80,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
81,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
82,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
83,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
84,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
85,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
86,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
87,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
88,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
89,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
90,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
91,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
92,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
93,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
94,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
95,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
96,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
97,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
